KOMMUNENUM,LOKALID   ,NAVN      ,NAVNEROM  ,OBJTYPE   ,OPPDATERIN,REF       ,REKKEF�LGE,SAMISKFORV,SOSI_ID   ,SPR�K     ,TYPE      
"2003","172718",Vadsø,NO.KARTVERKET.AdmEnheterNorge,Kommune,,,,NEI,"172809",nor,FLATE
"5020","173007",Osen,NO.KARTVERKET.AdmEnheterNorge,Kommune,,,,NEI,"172813",nor,FLATE
"1438","173025",Bremanger,NO.KARTVERKET.AdmEnheterNorge,Kommune,,,,NEI,"172814",nor,FLATE
"1244","172926",Austevoll,NO.KARTVERKET.AdmEnheterNorge,Kommune,,:-172420 :-345976 :-502657 :-502658 :-345981 :-345985 :-346325 :-346300 :-346302 :-346301 :419113 :346303 :361124 :361118 :361122 :361163 :502641 :502640 :345954 :345956,,NEI,"172815",nor,FLATE
"1001","173043",Kristiansand,NO.KARTVERKET.AdmEnheterNorge,Kommune,,,,NEI,"172816",nor,FLATE
"0914","173035",Tvedestrand,NO.KARTVERKET.AdmEnheterNorge,Kommune,,,,NEI,"172817",nor,FLATE
"0901","172804",Risør,NO.KARTVERKET.AdmEnheterNorge,Kommune,,,,NEI,"172818",nor,FLATE
"1848","172744",Steigen,NO.KARTVERKET.AdmEnheterNorge,Kommune,,,,NEI,"172819",nor,FLATE
"1845","172870",Sørfold,NO.KARTVERKET.AdmEnheterNorge,Kommune,,,,NEI,"172820",nor,FLATE
"2002","173014",Vardø,NO.KARTVERKET.AdmEnheterNorge,Kommune,,,,NEI,"172821",nor,FLATE
"2028","173053",Båtsfjord,NO.KARTVERKET.AdmEnheterNorge,Kommune,,,,NEI,"172822",nor,FLATE
"2022","172716",Lebesby,NO.KARTVERKET.AdmEnheterNorge,Kommune,,,,NEI,"172823",nor,FLATE
"2019","173051",Nordkapp,NO.KARTVERKET.AdmEnheterNorge,Kommune,,:394280 :395867 :395870 :494883 :-410815 :-415879 :-424846 :424945 :424950 :-424956 :-426627 :-424607 :422266 :-426693 :426275 :480312 :426699 :426479 :480187 :421911 :421915 :486793 :502553 :502552 :-172481 :-502613 :-502614 :-394238,,NEI,"172824",nor,FLATE
"2004","172692",Hammerfest,NO.KARTVERKET.AdmEnheterNorge,Kommune,,,,NEI,"172825",nor,FLATE
"2014","172727",Loppa,NO.KARTVERKET.AdmEnheterNorge,Kommune,"20070103",,,NEI,"172826",nor,FLATE
"1936","172968",Karlsøy,NO.KARTVERKET.AdmEnheterNorge,Kommune,,,,NEI,"172827",nor,FLATE
